player_id,player_name,dob,country,continent,numero_gol_subiti
174456,Antonio Carbajal,07/06/1929,Mexico,North America,33
92722,Mohammed Al Deayea,02/08/1972,Saudi Arabia,Asia,32
154644,Jacques Songoo,17/03/1964,Cameroon,Africa,28
174672,Andreas Koepke,12/03/1962,Germany,Europe,28
52614,Heinz Kwiatkowski,16/07/1926,Germany FR,Europe,28
174656,Kasey Keller,29/11/1969,USA,North America,26
37989,Sepp Maier,28/02/1944,Germany FR,Europe,25
44786,Dino Zoff,28/02/1942,Italy,Europe,24
77937,Lee Woon Jae,26/04/1973,Korea Republic,Asia,23
44105,Ubaldo Fillol,21/07/1950,Argentina,South America,23
174672,Andreas Koepke,12/03/1962,Germany FR,Europe,23
58050,Simeon Simeonov,26/04/1946,Bulgaria,Europe,22
58618,Kalle Svensson,11/11/1925,Sweden,Europe,22
78091,Oliver Kahn,15/06/1969,Germany,Europe,22
174631,Bodo Illgner,07/04/1967,Germany,Europe,22
174794,Thomas Nkono,20/07/1956,Cameroon,Africa,21
174387,Joseph Antoine Bell,08/10/1954,Cameroon,Africa,21
174638,Lev Yashin,22/10/1929,Soviet Union,Asia,21
47382,Castilho,27/11/1927,Brazil,South America,20
44615,Viliam Schrojf,02/08/1931,Czechoslovakia,Europe,20
174701,Jim Leighton,24/07/1958,Scotland,Europe,20
54723,Jacques Munaron,08/09/1956,Belgium,Europe,20
174857,Jean Marie Pfaff,04/12/1953,Belgium,Europe,20
174765,Tony Meola,21/02/1969,USA,North America,19
174412,Gilbert Bodart,02/09/1962,Belgium,Europe,19
190000,Mabrouk Zaid,11/02/1979,Saudi Arabia,Asia,19
57698,Kurt Schmied,14/06/1926,Austria,Europe,19
174578,Gyula Grosics,04/02/1926,Hungary,Europe,18
56802,Francois Remetter,08/08/1928,France,Europe,18
44789,Andoni Zubizarreta,23/10/1961,Spain,Europe,18
44810,Claude Abbes,24/05/1927,France,Europe,18
44542,Ramon Quiroga,23/07/1950,Peru,South America,18
57159,Alan Rough,25/11/1951,Scotland,Europe,17
49029,Charly Elsener,13/08/1934,Switzerland,Europe,17
51231,Eike Immel,27/11/1960,Germany FR,Europe,17
57737,Harald Schumacher,06/03/1954,Germany FR,Europe,17
46208,Dominique Baratelli,26/12/1947,France,Europe,17
58501,Georges Stuber,11/05/1925,Switzerland,Europe,17
77525,Brad Friedel,18/05/1971,USA,North America,16
69899,Gunter Sawitzki,22/11/1932,Germany FR,Europe,16
50984,Hong Dook Jong,05/05/1921,Korea Republic,Asia,16
156624,Oswaldo Sanchez,21/09/1973,Mexico,North America,16
